Co./Last Name	Card ID	Addr 1 - Line 1	           - Line 2	           - Line 3	           - Line 4	           - City	           - State	           - Postcode	           - Country	Identifiers
Liberty International Pty Ltd	5977 7122	21 Simcock Street				Somerville	Vic	3912	Australia	ANUW
Lilydale Pet Foods	9739 6434	Factory 11 	478 Maroondah Highway			Lilydale	Vic	3140	Australia	AJTY
Lilydale Vet Centre	9735 4211	3 Maroondah Highway				Lilydale	Vic	3140	Australia	AKUY
Lindisfarne Vet Clinic	6243 0083	27 Lincoln Street				Lindisfarne	Tas	7015	Australia	GKUW
Living Jungle Dandenong	9794 7928	170-172 Princes Highway				Dandenong	Vic	3175	Australia	AJUZ
Living Jungle Pet Warehouse Fawkner	9359 5577	573 Mahoneys Road				Fawkner	Vic	3060	Australia	AJUY
Living Jungle Pet Warehouse Sunshine	9390 0123	586 Ballarat Road				Sunshine	Vic	3020	Australia	AJUY
Lonely Pets Club	1 300 28 33 53	PO Box 1042				Brunswick	Vic	3056	Australia	ANTW
Lort Smith Animal Hospital	9328 3021	24 Villiers Street				North Melbourne	Vic	3051	Australia	AKSY
Lost Dogs Home	9329 6933	2 Gracie Street	Vet Clinic			North Melbourne	Vic	3051	Australia	AJUY
LRS Quality Discount	5821 6238	114 High Street				Shepparton	Vic	3632	Australia	ANUW
Luvya Pet Pty Ltd	5221 9668	137 Shannon Avenue				Geelong West	Vic	3218	Australia	AJTY
Lyns Aussie Pet Supplies	5250 6250	33 Northview Drive				Leopold	Vic	3224	Australia	ANUY
Mackay's - Frankston	9781 4366	6 Kookaburra Street				Frankston	Vic	3199	Australia	APSZ
Mackay's Bayside Produce Stores - Head Office	9306 3178	Po Box 122				Glenroy	Vic	3046	Australia	ALSZ
Mackay's Bayside Produce Stores - Somerville	5977 5203	Station Street				Somerville	Vic	3912	Australia	ALSZ
Mad About Pets	9758 8838	"Shop 58, Mountain Gate S/Centre"	Ferntree Gully Road			Ferntree Gully	Vic	3156	Australia	AJTZ
Makks Pet Supplies	9756 0557	48 Forest Road				Ferntree Gully	Vic	3156	Australia	AJTZ
Malvern Central Vet Centre	9509 9744	90 Wattletree Road				Malvern	Vic	3144	Australia	AKUZ
Malvern Vet Hospital	9509 7611	547 Dandenong Road				Armadale	Vic	3143	Australia	AKTZ
Manningham Vet Clinic	9850 1600	22 Manningham Road				Bulleen	Vic	3105	Australia	AKTY
Marion Pet Shop	08 8296 3416	Shop 1071 297 Diagonal Road	Westfield Marion Shopping Centre			Oaklands Park	SA	5046	Australia	EJSW
Market Place Pets	9725 7797	"Shop 29, Croydon Centro"				Croydon	Vic	3136	Australia	AJTY
Maroondah Produce	9753 6433	1140 Burwood Highway				Ferntree  Gully	Vic	3156	Australia	AJSZ
Maroondah Vet Clinic	9870 0303	30 Maroondah Highway				Croydon	Vic	3136	Australia	AKUY
Mega Pet Warehouse - Dandenong	9792 1395	"Shop 353, Dandenong Plaza"	29-33 McCrae Street			Dandenong	Vic	3175	Australia	AJSZ
Mega Pet Warehouse - Epping	8405 3033	Epping Homemaker Centre	"Unit 2, 592 High Street"			Epping	Vic	3076	Australia	AJSY
Mega Pet Warehouse - Head Office	9879 6299a	383 Maroondah Highway				Ringwood	Vic	3134	Australia	AJSYZ
Mega Pet Warehouse - Hoppers Crossing	9748 5377	33-39 Heaths Road				Hoppers Crossing	Vic	3029	Australia	AJSY
Mega Pet Warehouse - Ringwood	9879 6299	383 Maroondah Highway				Ringwood	Vic	3134	Australia	AJSY
Melrose Animal Hospital	02 6056 1544	Cnr Melrose Drive & Brockley Street				Wadonga	Vic	3690	Australia	AKUW
Mentone Vet Clinic	9583 4660	19 Balcombe Road				Mentone	Vic	3194	Australia	AKTZ
Messy Pawz Pet Store	5941 6822	"Shop 5, 127 Main Street"				Pakenham	Vic	3810	Australia	AJTZ
Middle Brighton Vet Clinic	9592 9811	632 Hampton Street				Brighton	Vic	3186	Australia	AKTZ
Mild 2 Wild	0433 299 173	19 Willunga Way				Bundora	Vic	3083	Australia	ANUW
Mill Park Animal Hospitals P/L	9437 7777	C/O Po Box 327				Whittlesea	Vic	3757	Australia	AKUY
Mitcham Pet Hospital	9874 6151	599 Whitehorse Road				Mitcham	Vic	3132	Australia	AKTY
Mitre 10 - Monbulk (Murphy's)	9756 6306	Cnr Main & Silvan Roads				Monbulk	Vic	3793	Australia	APUY
Mitre 10 - Thornbury (Rex Paine)	9416 9244	685 High Street				Thornbury	Vic	3071	Australia	APUX
Mitre 10 - Watsonia	9435 2555	45 Watsonia Road				Watsonia	Vic	3087	Australia	APUX
Mitre 10 Hamilton (L.A. Walker)	5572 2255	92 Lonsdale Street				Hamilton	Vic	3300	Australia	APUW
Monash Vet Clinic	9544 7455	1742 Dandenong Road	Cnr North Road			Clayton	Vic	3168	Australia	AKUZ
Montmorency Vet	9435 1833	64 Sherbourne Road				Montmorency	Vic	3094	Australia	AKUY
Montrose Pet Supplies	9728 5569	3 Leith Road				Montrose	Vic	3765	Australia	AJUY
Moonee Central Vet	9375 7955	11 Everage Street				Moonee Ponds	Vic	3039	Australia	AKUY
Moonee Valley Animal Hospital	9379 3007	216 Keilor Road				North Essendon	Vic	3041	Australia	AKUY
Moorabbin Vet	9555 4808	328 South Road				Moorabbin	Vic	3189	Australia	AKSZ
Moorholme Park	9338 0823	65-125 Bassett Road				Melbourne Airport	Vic	3045	Australia	AMUY
Mop & Top Dogs	9457 6516	180 Burgundy Street				Heidelberg	Vic	3084	Australia	AOUY
Mornington Lodge	5978 8383	Moorooduc Highway	(on the left before Cragie Rd)			Mornington	Vic	3931	Australia	AMUZ
Mornington Pet Centre	5975 2420	"Shop 1, 26 McLaren Place"				Mornington	Vic	3931	Australia	AJUZ
Mornington Petorium	5975 4847	"Factory 3, 3 Torca Terrace"				Mornington	Vic	3913	Australia	AJTZ
Mornington Veterinary Clinic	5975 3811	339 Main Street				Mornington	Vic	3931	Australia	AKTZ
Mt Barker Aquarium & Pet Supply	08 8398 5252	17 Walker Street				Mt Barker	SA	5251	Australia	EJUW
Mt Eliza Pets	9787 3811	7/87 Mt Eliza Way				Mt Eliza	Vic	3930	Australia	AJTZ
Mt Evelyn Vet Clinic & Animal Hospital	9736 3088	40 Hereford Road				Mt Evelyn	Vic	3796	Australia	AKTY
Mt Martha Vet Clinic	5974 1199	6 Langrigg Avenue				Mt Martha	Vic	3934	Australia	AKUZ
Mt Waverley Pets & Supplies	9888 1451	57 Wadham Parade				Mt Waverley	Vic	3149	Australia	AJTZ
Mulgrave Vet Clinic	9561 0541	447 Wellington Road				Wheelers Hill	Vic	3150	Australia	AKUZ
Murphy's Paw	9646 5150	401 Bay Street				Port Melbourne	Vic	3207	Australia	AJUY
Mutz & Cutz Grooming	5367 3674	64a Grant Street				Bacchus Marsh	Vic	3340	Australia	AOUY
Narre Pet & Aquarium Centre	9704 7615	Shop 2	420 Princes Hwy			Narre Warren	Vic	3805	Australia	AJUZ
Narre Warren North Vet Clinic	9796 8266	405-411 Narre Warren North Rd				Narre Warren North	Vic	3804	Australia	AKUZ
Narre Warren Produce & Pets	9704 6634	Unit 6 36 Lauberdale Road				Narre Warren	Vic	3805	Australia	AJUZ
Narre Warren Vet Clinic	9704 6463	459 Princes Highway				Narre Warren	Vic	3805	Australia	AKTZ
Nathalia Boarding Kennels & Cattery	5866 2000	Po Box 20				Nathalia	Vic	3638	Australia	AMUW
Natural Balance	9338 7000	16 Dib Court				Tullamarine	Vic	3043	Australia	AJUY
Naturally Stylin'	9553 1769	15 Spring Road				Highett	Vic	3190	Australia	AOUZ
Newport Pet Shop	9391 9533	328 Melbourne Road				Newport	Vic	3015	Australia	AJSY
Newtown Veterinary Clinic	5221 5333	121 West Fyans Street				Newtown	Vic	3220	Australia	AKUY
Niddrie Vet Clinic	9379 8913	577 Keilore Road				Niddrie	Vic	3042	Australia	AKUY
Noahs Ark Vet Services	02 4982 9899	Medowie Shopping Centre	Ferodale Road			Medowie	NSW	2318	Australia	BKTW
Noble Park Animal Hospital	9547 8666	1169 Heatherton Road				Noble Park	Vic	3174	Australia	AKUZ
North Balwyn Veterinary Hospital	9857 8100	341 Balwyn Road				North Balwyn	Vic	3104	Australia	AKUY
North Croydon Veterinary Clinic	9726 9616	82-86 Exter Road				North Croydon	Vic	3136	Australia	AKTY
North Randwick Veterinary Clinic	02 9314 5112	97-99 Albion Street				Randwick	NSW	2031	Australia	BKUW
North Road Veterinary Centre	9596 4804	167 North Road				Gardenvale	Vic	3185	Australia	AKTZ
North Templestowe Vet Hospital	9850 1355	Cnr Parker & Ruffey Streets				Templstowe Lower	Vic	3107	Australia	AKUY
North Warrandyte Veterinary Clinic	9844 0781	"Shop 1, 266 Yarra Street"				Warrandyte	Vic	3113	Australia	AKTY
Northcote Plaza Veterinary Clinic	9489 3322	43A Dennis Street				Northcote	Vic	3070	Australia	AKTY
Northland Pet Centre	9478 2205	Northland Shopping Centre				Preston East	Vic	3072	Australia	AJUY
Nunawading Birds & Pets (Pet Connection)	9874 3394	101 Springvale Road				Nunawading	Vic	3131	Australia	AJUY
Oakleigh Central vet	9568 2211	121 Warrigal Road				Oakleigh	Vic	3166	Australia	AKUZ
Ocean Keys Pets	08 9407 7670	6 Ocean Keys Blvd				Clarkson	WA	6030	Australia	FJUW
Officer Grain Store	5943 2478	431 Princes Highway	Cnr Tivendale Road			Officier	Vic	3809	Australia	ALUZ
Ooralea Pet & Vet Centre	07 4952 4622	31-33 Peak Downs Highway				Mackay	QLD	4741	Australia	CKUW
Pakenham Produce & Saddlery	5941 1844	62 Station Street				Pakenham	Vic	3810	Australia	ALTZ
Pakenham Vet Clinic	5941 3944	64 Main Street				Pakenham	Vic	3810	Australia	AKSZ
Parkdale Vet Clinic	9580 3785	350 Como Parade West				Parkdale	Vic	3194	Australia	AKUZ
Parkway Family Pet Centre	5995 8844	Shop 12	Cnr Sth Gippsland Hwy & Thompson Rd			Cranboroune North	Vic	3977	Australia	AJSZ
Passion For Pets - Carrum Downs	9775 1361	3/544 Frankston-Dandenong Road 				Carrum Downs	Vic	3201	Australia	AJUZ
Paw Relations	9846 8146	2/110 Wood Street				Templestowe	Vic	3106	Australia	AOUY
Paws & Claws	9589 2639	"Shop 4, 350 Balcombe Road"				Beaumaris	Vic	3193	Australia	AJTZ
Paws for a Clip	02 9449 5788	61 Kedumba Cresent				North Turramurra	NSW	2074	Australia	BOUW
Paws Store	9397 8604	68 Stevedore Street				Williamstown	Vic	3015	Australia	AJTY
Pawz n Clawz Pet Accomodation	08 8953 5590	47a Priest Street				Alice Springs	NT	871	Australia	DMTW
Peninsula Animal Hospital	9787 3466	199 Mount Eliza Way				Mt Eliza	Vic	3930	Australia	AKSZ
Peninsula Pet Clips	5981 1199	2B 5th Avenue				Rosebud	Vic	3939	Australia	AOUZ
Peninsula Vet Care HQ	5987 2477a	27 McCulloch Street				Dromana	Vic	3936	Australia	AKTZ
Permewans Hamilton	5572 2922	55-61 Cox Street				Hamilton	Vic	3300	Australia	APUW
Pet Art (Closed Mondays)	9489 2557	78 Scotchmer Street				North Fitzroy	Vic	3068	Australia	AJSY
Pet Bath Shop	9438 2300	53 Chute Street				Diamond Creek	Vic	3089	Australia	AOUY
Pet Cafe - Ashgrove	07 3366 6925	10 Stewart Road				Ashgrove	QLD	4060	Australia	CJUW
Pet Cafe - Cleveland	07 3821 0207	5/33-39 Shore Street West				Cleveland	QLD	4163	Australia	CJTW
Pet Cafe - Greenslopes	07 3397 5477	589 Logan Road				Greenslopes	QLD	4122	Australia	CJUW
Pet Care Vet Clinic	9700 5222	234 Power Road				Endeavour Hills	Vic	3802	Australia	AKUZ
Pet Connection	9585 5098	"Shop 61, Direct Factory Outlets"	Cnr Centre Dandenong & Grange Roads			Cheltenham	Vic	3192	Australia	AJUZ
Pet Love	9386 8466	329 Moreland Road				Coburg	Vic	3058	Australia	AJTY
Pet Magic	08 9458 1970	"Shop 8, 1500 Albany Highway"				Cannington	WA	6107	Australia	FJUW
Pet Mobile Whittlesea	9436 6297	31 Golf Links Drive				Mill Park	Vic	3082	Australia	AOUW
Pet Pantry	9459 7110	7 Hartley Court				Rosanna	Vic	3084	Australia	ANUW
Pet Perfection Dog Grooming	9562 1555	30 Columbia Drive				Wheelers Hill	Vic	3149	Australia	AOTZ
Pet Transport Nowra	02 4421 8317	4 Peppermint Drive				Worrigee	NSW	2540	Australia	BNUW
Petarazzi	9486 5544	74 High Street				Northcote	Vic	3070	Australia	AJTY
Petchow.com	9548 2796	903A Springvale Road				Mulgrave	Vic	3175	Australia	AJTZ
Pete's Pet Southgate Plaza	08 8382 4111	Cnr Hilliers & Sherriffs Roads				Morphett Vale	SA	5162	Australia	EJUW
Peter Gibbs Stockfeeds	9300 2088	Hartington Street				Glenroy	Vic	3047	Australia	ALTY
Petite Pets	9727 5832	12 Brice Avenue				Mooroolbark	Vic	3138	Australia	AJSY
Pets & The City	9686 5252	25 Victoria Avenue				Albert Park	Vic	3206	Australia	AJSY
Pets @ Gamon Street	9332 8313	71b Gamon Street				Seddon	Vic	3011	Australia	AJTY
Pets at Port	02 6583 5550	"Unit 1, The Hub"	Bellbowrie Street			Port Macquarie	NSW	2444	Australia	BJUW
Pets Bazarr	0402 238 973	1/303 Glen Eira Road				Caulfield North	Vic	3161	Australia	ANTZ
Pets Best Friend Australia	0419 007 151	PO Box 82				Ormond	Vic	3204	Australia	AJSZ
Pets Best Friend Carnegie	9563 4065	152 Koonang Road				Carnegie	Vic	3163	Australia	AJSZ
Pets Best Friend Elsternwick	9532 8450	321 Glenhuntly Road				Elsternwick	Vic	3185	Australia	AJSZ
Pets Best Friend Prahran	9510 4919	184-186 Chapel Street				Prahran	Vic	3181	Australia	AJSZ
Pets Best Friend Southland	9585 5573	"Shop 1035, "	Westfield Shoppingtown Southland			Cheltenham	Vic	3192	Australia	AJSZ
Pets Corner Store	5248 7066	Cnr Albert & Portarlington Roads				Moolap	Vic	3221	Australia	AJUY
Pets For Us - Grovedale / Geelong Pet Supplies	5241 3266	Cnr Torquay  & Marshalltown Roads				Grovedale	Vic	3216	Australia	AJTY
Pets Legend	9802 2741	Shop 7 The Village Walk				Glen Waverley	Vic	3150	Australia	ALUZ
Pets on Brunswick	9417 1400	423a Brunswick Street				Fitzroy	Vic	3065	Australia	AJSY
Pets Paradise - Altona Gate	9325 1537	Shop U10	Millers Road	Altona Gate Shopping Centre		Altona North	Vic	3025	Australia	AJUY
Pets Paradise - Brandon Park	8561 0811	Shop 102	Brandon Park Shopping Centre			Wheelers Hill	Vic	3170	Australia	AJTZ
Pets Paradise - Cannonvale Superstore	07 4948 1183	54 Valley Drive				Cannonvale	QLD	4802	Australia	CJUW
Pets Paradise - Castle Towers	02 9894 6571	Shop 491 Upper Level Castle Towers				Castle Hill	NSW	2154	Australia	BJUW
Pets Paradise - Dandenong	9794 8280	Shop 373 Dandenong Plaza	Cnr McCrae & Walker			Dandenong	Vic	3175	Australia	AJUZ
Pets Paradise - Eastland	9879 8299	"Shop L43, Eastland Shopping Centre"				Ringwood	Vic	3134	Australia	AJUY
Pets Paradise - Forest Hill	9878 2798	Shop 164 Forest Hill Chase S/C	Cnr Canterbury  & Mahoneys Roads			Forest Hill	Vic	3131	Australia	AJUY
Pets Paradise - Fountain Gate	9704 6633	Shop 2043	Fountain Gate Shopping Centre			Narre Warren	Vic	3805	Australia	AJUZ
Pets Paradise - Karingal	9789 7100	330 Cranbourne Road	Karingal Hub Shopping Centre			Karingal	Vic	3199	Australia	AJUZ
Pets Paradise - Southland	9584 8820	"Level 1, Shop 1138"	Westfield Shopping Centre			Cheltenham	Vic	3192	Australia	AJUZ
Pets Paradise - Werribee	9749 4052	Werribee Plazza Shopping Centre	Heaths Road			Werribee	Vic	3030	Australia	AJUY
Pets R People 2	9836 7081	902 Riversdale Road				Camberwell	Vic	3124	Australia	AJTZ
Pets Wonderland - Westfield (F)	9310 4426	Shop 26	Westfield Shopping Centre			Airport West	Vic	3042	Australia	AJTY
Pets Wonderland Bentleigh (F)	9557 8691	385 Centre Road				Bentleigh	Vic	3204	Australia	AJTZ
Pets Wonderland Moonee Ponds (F)	9375 7426	127 Puckle Street				Moonee Ponds	Vic	3039	Australia	AJTY
Pets Wonderland Northcote (F)	9481 8680	Northcote Plaza	Seperation Street			Northcote	Vic	3070	Australia	AJTY
Petsco	5428 2000	171 Panorama Drive				Gisborne	Vic	3437	Australia	ANUW
Petshopper Pet Foods & Accessories	9853 9328	1/4 Walpole Street				Kew	Vic	3101	Australia	AJTY
Petstock - Albury	02 6040 7600	"Unit 1, 334 Wagga Road"				Lavington	NSW	2641	Australia	BJUW
Petstock - Ballarat	5336 1788	909 Latrobe Street				Ballarat	Vic	3350	Australia	AJUY
Petstock - Castlemaine (Taylor Brothers)	5472 1016	73 Forest Street				Castlemaine	Vic	3450	Australia	ALUW
Petstock - Cranbourne	5996 2726	202 Sladen Street				Cranbourne	Vic	3977	Australia	ALUZ
Petstock - Geelong	5241 3713	150 Barwon Heads Road				Belmont	Vic	3216	Australia	AJUY
Petstock - Gisborne	5428 2381	20 Robertson Street				Gisborne	Vic	3437	Australia	ALUW
Petstock - Head Office	5336 1788a	PO Box 203				Sebastopol	Vic	3356	Australia	AJY
Petstock - Hopper Crossing	9369 9955	433 Old Geelong Road				Hoppers Crossing	Vic	3029	Australia	AJUY
Petstock - Horsham	5382 4004	51 Urquhart Street				Horsham	Vic	3400	Australia	ALUW
Petstock - Mornington	5975 7477	Blding A5 Peninsula Lifestyle Centre	1128-1132 Nepean Highway			Mornington	Vic	3931	Australia	ALUZ
Petstock - Shepparton	5821 3199	210 Benalla Road				Shepparton	Vic	3630	Australia	ALUW
Petstock - South Morang	9436 5833	441 McDonalds Road				South Morang	Vic	3752	Australia	AJUY
Petsville - Morwell	5134 3762	"Shop 2,3 Vestan Drive"				Morwell	Vic	3840	Australia	AJUW
Petsville -Traralgon	5174 1511	124 Franklin Street				Traralgon	Vic	3844	Australia	AJUW
Petsworld - Welland	08 8340 3032	58 Grange Road				Welland	SA	5007	Australia	EJUW
Planet Pooch	02 9399 8284	29 Clovelly Road				Randwick	NSW	2031	Australia	BJUW
Plenty For Pets	9467 3155	1173 Plenty Road				Bundoora	Vic	3083	Australia	AJTY
PolaPaws	07 5575 2546	5/37 Hillcrest Parade				Miami	Qld	4220	Australia	CQSW
Pooch Parlour	9842 3472	40 Ireland Avenue				Doncaster East	Vic	3109	Australia	AOUY
POPPETS (Pampering Our Precious Pets)	9589 1666	46 East Concourse				Beaumaris	Vic	3193	Australia	AJTZ
Port Melbourne Vet Clinic	9646 5300	109 Bay Street				Port Melbourne	Vic	3207	Australia	AKUY
Posh Pets	07 5527 0016	Shop 3a Marina Mirage	Seaworld Drive			Main Beach	QLD	4217	Australia	BJUW
Possum Pet Supplies	5332 2799	"Shop 9, 1-3 Eastwood Street"				Ballarat	Vic	3350	Australia	AJUY
Pound Road Vet	9799 1499	8 Pound Road				Hampton Park	Vic	3976	Australia	AKUZ
Prahran/Toorak Vet Hospital	9510 1335	682 Malvern Road				Prahran	Vic	3181	Australia	AKSZ
Preston Vet Clinic	9484 1908	267-271 Bell Street				Preston	Vic	3072	Australia	AKUY
Pretty Paws	9748 9611	7 Citrus Close				Hoppers Crossing	Vic	3029	Australia	AJUY
Priority Pets	9791 8021	154 Cheltenham Road				Dandenong	Vic	3175	Australia	AJTZ
Pup Pup Puppies	9894 2880	106 Canterbury Road				Blackburn South	Vic	3130	Australia	AJTY
Puppies R Us	9894 8600	161 Springvale Road				Nunawading	Vic	3131	Australia	AJSY
Puppy Phat	9500 1220	1250 High Street				Armadale	Vic	3143	Australia	AOTZ
Purrfect Pets & Grooming	9564 7699	70 Portman Street				Oakliegh	Vic	3166	Australia	AJUZ
Purrs & Paws Pet Resort	08 8983 1431	"PO Box 903, 85Mahaffey Road"				Howard Springs	NT	835	Australia	DMUW
Pykes Pets & Cycles	5358 3133	57 Main Street				Stawell	Vic	3380	Australia	AJUW
Rainbow Jungle	9830 4455	280 Canterbury Road				Surrey Hills	Vic	3127	Australia	AJTY
Redmans Hardware	9859 2829	1148-1152 Burke Road				North Balwyn	Vic	3104	Australia	APUY
Reigning Cats & Dogs	02 9970 8440	"Shop 65, Jackson Road"	Warriewood Shopping Centre			Warriewood	NSW	2102	Australia	BJUW
Rell's Pet Service	0500 500 786	6 Phillip Road				Leppington	NSW	2171	Australia	BJUW
Research Stockfeed	9437 2609	Factory 5	1635 Main Road			Research	Vic	3095	Australia	AJTY
Richmond Pet Supplies	9421 4950	419 Bridge Road				Richmond	Vic	3121	Australia	AJSY
Richmond Vet Hospital	9428 2220	259 Church Street				Richmond	Vic	3121	Australia	AKUY
Rigbys Rescue Inc	5968 9167	3 Ferngully Road				Cockatoo	Vic	3781	Australia	ANTW
Rilten Boarding Kennels & Cattery	9436 1494	84 Ashley Road				Yarrambat	Vic	3091	Australia	AMUY
Ringwood East Personal Vet Care	9879 2803	106 Railway Avenue				Ringwood East	Vic	3135	Australia	AKTY
Ringwood Vet Clinic	9870 6440	1 Maroondah Highway				Ringwood	Vic	3134	Australia	AKUY
Robbo's Pet Barn - Dandenong	9794 5544	31A Princes Highway				Dandenong	Vic	3175	Australia	AJSZ
Robin Avenue Pet Supplies	5275 6801	68a Robin Avenue				Norlane	Vic	3214	Australia	AJTY
Robinson Vet Clinic	9785 9288	210 Karingal Drive				Frankston	Vic	3199	Australia	AKUZ
Rojan Pet Supplies	5443 0602	82 Pall Mall				Bendigo	Vic	3550	Australia	AJUW
Roll Over Rova Pet Supplies	5241 9755	5/154 Torquay Road				Grovedale	Vic	3216	Australia	AJSY
Rosebud Veterinary Clinic	5986 2254	1579 Point Nepean Road				West Rosebud	Vic	3040	Australia	AKTZ
Rowville Vet Clinic	9763 1799	919 Stud Road				Rowville	Vic	3178	Australia	AKTZ
Roxburgh Park Veterinary Clinic	9305 4297	"Shop 8, Homestead S/C"	101 Ravenhill Boulevard			Roxburgh	Vic	3064	Australia	AKTY
RSPCA - Adelaide (SA)	08 8212 6871	172 Morphett Street				Adelaide	SA	5000	Australia	EJUW
RSPCA - Albury (NSW)	02 6021 5220	610 Hume Street				Albury	NSW	2640	Australia	BJUW
RSPCA - Ballarat (Vic)	5334 2075	115 Gillies Street				Ballarat	Vic	3350	Australia	AJUY
RSPCA - Bendigo (Vic)	5441 2209	Piper Lane				East Bendigo	Vic	3550	Australia	AJUW
RSPCA - Blue Mountains (NSW)	02 4782 5027	121-125 Mort Street				North Katoomba	NSW	2780	Australia	BJUW
RSPCA - Burwood (Vic)	9224 2222	3 Burwood Highway				Burwood East	Vic	3151	Australia	AJSY
RSPCA - Canberra (ACT)	02 6288 4433	12 Kirpatrick Street				Weston	ACT	2611	Australia	BJUW
RSPCA - Castlemaine (Vic)	5472 5277	Langslow Street				Castlemaine	Vic	3450	Australia	AJUW
RSPCA - Central Australia (NT)	08 8953 4430	PO Box 2153	Len Kittle Drive			Alice Springs	NT	871	Australia	DNUW
RSPCA - Central Gippsland (Vic)	5146 7008	336 Raymond Street				Sale	Vic	3850	Australia	AJUW
RSPCA - Davonport (Tas)	03 6427 2566	108 Tarleton Road				Spreyton	Tas	7310	Australia	AJUW
RSPCA - East Gippsland (Vic)	5156 5529	2 Grey Street				Lakes Entrance	Vic	3909	Australia	AJUW
RSPCA - Geelong (Vic)	5222 2693	316 Pakington Street				Newtown	Vic	3220	Australia	AJSY
RSPCA - Goulburn (NSW)	02 4821 2991	99 Taralga Road				Goulburn	NSW	2580	Australia	BJUW
RSPCA - Launceston	03 6326 6120	PO Box 66				Mowbray	Tas	7248	Australia	GJTW
RSPCA - Lonsdale (SA)	08 8382 0888	25 Meyer Road				Lonsdale	SA	5160	Australia	EJUW
RSPCA - Mornington (Tas)	6244 3033	553 Pass Road				Mornington	Tas	7018	Australia	GJUW
RSPCA - Pearcedale (Vic)	5978 6706	1030 Robinsons Road				Pearcedale	Vic	3912	Australia	AMSZ
RSPCA - Portland (Vic)	5523 4690	185 Darts Road				Portland	Vic	3305	Australia	AJUW
RSPCA - Strezelecki (Vic)	5126 2662	37 Lloyd Street				Moe	Vic	3825	Australia	AJUW
RSPCA - Sunraysia (Vic)	5021 3220	200 Deakin Avenue				Mildura	Vic	3500	Australia	AJUW
RSPCA - Swan Hill ( Vic)	5032 1950	45 McCallum Street				Swan Hill	Vic	3585	Australia	AJUW
RSPCA - Sydney (NSW)	02 8666 0106	201 Rookwood Road				Yagoona	NSW	2199	Australia	BJTW
RSPCA - Ulladulla (NSW)	02 4454 0217	PO Box 659				Ulladulla	NSW	2539	Australia	BJUW
RSPCA - Wangaratta (Vic)	5722 2874	1 Wills Street				Wangaratta	Vic	3676	Australia	AJUW
RSPCA - Warrnambool (Vic)	5561 2591	23 Braithwaite Street				Warrnambool	Vic	3280	Australia	AJUW
Ruben's Blackwood Pet Food	08 8278 7206	168-170 Main Road				Blackwood	SA	5051	Australia	EJUW
Ruth Hamilton Dog Grooming	0425 758 335	42 Margate Cresent				Glen Waverley	Vic	3150	Australia	AOSW
Rye Beach Vet Hospital	5985 7011	27 Dundas Street				Rye	Vic	3941	Australia	AKTZ
Rye Produce & Nursery	5985 4282	2151 Point Nepean Road				Rye	Vic	3941	Australia	AJSZ
Rye Veterinary Clinic	5985 6644	2261 Pt Nepean Road				Rye	Vic	3941	Australia	AKSZ
Sale Pet & Aquarium Supplies	5144 1574	340 Raymond Street				Sale	Vic	3850	Australia	AJUW
Sandringham Vet	9598 3621	262 Bluff Road				Sandringham	Vic	3191	Australia	AKUZ
Scruba-Dub-Dog Ferntree Gully	9753 6411	1156 Burwood Highway				Ferntree Gully	Vic	3156	Australia	AJUZ
Scruba-Dub Dog Hallam	9702 3350	261 Princes Highway				Hallam	Vic	3803	Australia	AJSZ
Seville Stockfeed	5964 3222	Lot 7 Bell Street				Seville	Vic	3139	Australia	ALTY
Seville Veterinary Clinic	5964 3960	Lot 7 Bell Street				Seville	Vic	3139	Australia	AKTY
Shepparton Veterinary Clinic	5821 3188	Cnr Wanganui Rd & Numurkah Rd				Shepparton	Vic	3632	Australia	AKTW
Silverpoodle	9578 4621	107 McKinnon Road				McKinnon	Vic	3204	Australia	AOUZ
Sirius Dog Grooming	9457 2244	1/23 Edward Street				Macleod	Vic	3085	Australia	AOUW
Somerville Pet Shop	5977 5011	Shop 19 17 Eramosa Road	Somerville Plaza			Somerville	Vic	3912	Australia	AJUZ
Somerville Vet Clinic	5977 6888	1178 Frankston-Flinders Road				Somerville	Vic	3192	Australia	AKUZ
South Melbourne Market Pet Shop	0419 873 593	Cnr Cecil & York Streets	Stall 100			South Melbourne	Vic	3205	Australia	AJSY
South Melbourne Vet Clinic	9699 9137	220 Ferrars Street				South Melbourne	Vic	3205	Australia	AKUY
South Road Animal Health	9555 1899	565 South Road				Bentleigh	Vic	3204	Australia	AKSZ
Sparrow in the Tree Tops	9436 1307	72 Ashley Road				Yarrambat	Vic	3091	Australia	AMUY
Specialty Mix Stock Food	9311 7074	39 Wright Street				Sunshine	Vic	3020	Australia	AJSY
Springvale Animal Hospital	9546 5022	570 Springvale Road				Springvale South	Vic	3172	Australia	AKUZ
St Andrews Stockfeed	9710 1673	66 Main Street				St Andrews	Vic	3761	Australia	ALUW
Stockfeed Plus	0439 989 093	1996 Bass Highway				Corinella	Vic	3984	Australia	ALSZ
Strathmore Veterinary Clinic	9379 3438	333 Napier Street				Strathmore	Vic	3041	Australia	AKSY
Stud Park Veterinary Hospital	9763 6088	1103 Stud Road				Rowville	Vic	3178	Australia	AKUZ
Studio Pets	9597 0557	64 Bay Road				Sandringham	Vic	3191	Australia	AJUZ
Tara Boarding Kennels	02 6247 5227	9 Beltana Road				Pialligo	ACT	2609	Australia	HMUW
