	Name	Sales	% Total Sales	Card ID						
	Petstock - Geelong	$0.00 	0.00%	5241 3713						
	Petstock - Gisborne	$0.00 	0.00%	5428 2381						
	Petstock - Head Office	$0.00 	0.00%	5336 1788a						
	Petstock - Hopper Crossing	$0.00 	0.00%	9369 9955						
	Petstock - Horsham	$0.00 	0.00%	5382 4004						
	Petstock - Mornington	$977.30 	0.10%	5975 7477						
	Petstock - Shepparton	$0.00 	0.00%	5821 3199						
	Petstock - South Morang	$0.00 	0.00%	9436 5833						
	Petsville - Morwell	$0.00 	0.00%	5134 3762						
	Petsville -Traralgon	$0.00 	0.00%	5174 1511						
	Petsworld - Welland	$0.00 	0.00%	08 8340 3032						
	Planet Pooch	$0.00 	0.00%	02 9399 8284						
	Plenty For Pets	$0.00 	0.00%	9467 3155						
	PolaPaws	"$1,957.32 "	0.30%	07 5575 2546						
	Pooch Parlour	$55.10 	0.00%	9842 3472						
	POPPETS (Pampering Our Precious Pets)	"$5,970.13 "	0.90%	9589 1666						
	Port Melbourne Vet Clinic	$0.00 	0.00%	9646 5300						
	Posh Pets	$0.00 	0.00%	07 5527 0016						
	Possum Pet Supplies	"$3,917.14 "	0.60%	5332 2799						
	Pound Road Vet	$0.00 	0.00%	9799 1499						
	Prahran/Toorak Vet Hospital	"$3,651.44 "	0.50%	9510 1335						
	Preston Vet Clinic	$0.00 	0.00%	9484 1908						
	Pretty Paws	$0.00 	0.00%	9748 9611						
	Priority Pets	"$1,751.85 "	0.30%	9791 8021						
	Pup Pup Puppies	$287.85 	0.00%	9894 2880						
	Puppies R Us	"$2,595.46 "	0.40%	9894 8600						
	Puppy Phat	$0.00 	0.00%	9500 1220						
	Purrfect Pets & Grooming	$0.00 	0.00%	9564 7699						
	Purrs & Paws Pet Resort	$230.51 	0.00%	08 8983 1431						
	Pykes Pets & Cycles	$175.00 	0.00%	5358 3133						
	Rainbow Jungle	$332.31 	0.00%	9830 4455						
	Redmans Hardware	"$4,402.46 "	0.60%	9859 2829						
	Reigning Cats & Dogs	$0.00 	0.00%	02 9970 8440						
	Rell's Pet Service	$0.00 	0.00%	0500 500 786						
	Research Stockfeed	$0.00 	0.00%	9437 2609						
	Richmond Pet Supplies	"$6,087.86 "	0.90%	9421 4950						
	Richmond Vet Hospital	$200.00 	0.00%	9428 2220						
	Rigbys Rescue Inc	$0.00 	0.00%	5968 9167						
	Rilten Boarding Kennels & Cattery	$0.00 	0.00%	9436 1494						
	Ringwood East Personal Vet Care	$912.41 	0.10%	9879 2803						
	Ringwood Vet Clinic	$362.40 	0.10%	9870 6440						
	Robbo's Pet Barn - Dandenong	"$10,811.69 "	1.60%	9794 5544						
	Robin Avenue Pet Supplies	$0.00 	0.00%	5275 6801						
	Robinson Vet Clinic	$0.00 	0.00%	9785 9288						
	Rojan Pet Supplies	$0.00 	0.00%	5443 0602						
	Roll Over Rova Pet Supplies	"$1,520.86 "	0.20%	5241 9755						
	Rosebud Veterinary Clinic	$0.00 	0.00%	5986 2254						
	Rowville Vet Clinic	"$3,123.81 "	0.50%	9763 1799						
	Roxburgh Park Veterinary Clinic	$139.54 	0.00%	9305 4297						
	RSPCA - Adelaide (SA)	$379.80 	0.10%	08 8212 6871						
	RSPCA - Albury (NSW)	$0.00 	0.00%	02 6021 5220						
	RSPCA - Ballarat (Vic)	$0.00 	0.00%	5334 2075						
	RSPCA - Bendigo (Vic)	$0.00 	0.00%	5441 2209						
	RSPCA - Blue Mountains (NSW)	$0.00 	0.00%	02 4782 5027						
	RSPCA - Burwood (Vic)	$0.00 	0.00%	9224 2222						
	RSPCA - Canberra (ACT)	"$1,875.98 "	0.30%	02 6288 4433						
	RSPCA - Castlemaine (Vic)	$0.00 	0.00%	5472 5277						
	RSPCA - Central Australia (NT)	$229.90 	0.00%	08 8953 4430						
	RSPCA - Central Gippsland (Vic)	$0.00 	0.00%	5146 7008						
	RSPCA - Davonport (Tas)	$65.50 	0.00%	03 6427 2566						
	RSPCA - East Gippsland (Vic)	$0.00 	0.00%	5156 5529						
	RSPCA - Geelong (Vic)	$0.00 	0.00%	5222 2693						
	RSPCA - Goulburn (NSW)	$981.63 	0.10%	02 4821 2991						
	RSPCA - Launceston	$81.00 	0.00%	03 6326 6120						
	RSPCA - Lonsdale (SA)	"$2,207.05 "	0.30%	08 8382 0888						
	RSPCA - Mornington (Tas)	$534.96 	0.10%	6244 3033						
	RSPCA - Pearcedale (Vic)	$0.00 	0.00%	5978 6706						
	RSPCA - Portland (Vic)	$0.00 	0.00%	5523 4690						
	RSPCA - Strezelecki (Vic)	$0.00 	0.00%	5126 2662						
	RSPCA - Sunraysia (Vic)	$0.00 	0.00%	5021 3220						
	RSPCA - Swan Hill ( Vic)	$0.00 	0.00%	5032 1950						
	RSPCA - Sydney (NSW)	$840.00 	0.10%	02 8666 0106						
	RSPCA - Ulladulla (NSW)	$308.70 	0.00%	02 4454 0217						
	RSPCA - Wangaratta (Vic)	$0.00 	0.00%	5722 2874						
	RSPCA - Warrnambool (Vic)	$0.00 	0.00%	5561 2591						
	Ruben's Blackwood Pet Food	$0.00 	0.00%	08 8278 7206						
	Ruth Hamilton Dog Grooming	$0.00 	0.00%	0425 758 335						
	Rye Beach Vet Hospital	$48.50 	0.00%	5985 7011						
	Rye Produce & Nursery	"$3,795.67 "	0.60%	5985 4282						
	Rye Veterinary Clinic	$870.02 	0.10%	5985 6644						
	Sale Pet & Aquarium Supplies	$0.00 	0.00%	5144 1574						
	Sandringham Vet	$0.00 	0.00%	9598 3621						
	Scruba-Dub-Dog Ferntree Gully	"$1,514.16 "	0.20%	9753 6411						
	Scruba-Dub Dog Hallam	"$1,137.88 "	0.20%	9702 3350						
	Seville Stockfeed	"$1,040.23 "	0.20%	5964 3222						
	Seville Veterinary Clinic	"$1,658.70 "	0.20%	5964 3960						
	Shepparton Veterinary Clinic	"$1,384.30 "	0.20%	5821 3188						
	Silverpoodle	$61.37 	0.00%	9578 4621						
	Sirius Dog Grooming	$136.50 	0.00%	9457 2244						
	Somerville Pet Shop	$0.00 	0.00%	5977 5011						
	Somerville Vet Clinic	$944.67 	0.10%	5977 6888						
	South Melbourne Market Pet Shop	"$4,505.88 "	0.70%	0419 873 593						
	South Melbourne Vet Clinic	$0.00 	0.00%	9699 9137						
	South Road Animal Health	"$1,309.20 "	0.20%	9555 1899						
	Sparrow in the Tree Tops	$0.00 	0.00%	9436 1307						
	Specialty Mix Stock Food	$810.66 	0.10%	9311 7074						
	Springvale Animal Hospital	$94.88 	0.00%	9546 5022						
	St Andrews Stockfeed	$0.00 	0.00%	9710 1673						
	Stockfeed Plus	$43.38 	0.00%	0439 989 093						
	Strathmore Veterinary Clinic	"$1,645.36 "	0.20%	9379 3438						
	Stud Park Veterinary Hospital	$954.05 	0.10%	9763 6088						
	Studio Pets	$507.94 	0.10%	9597 0557						
	Tara Boarding Kennels	$0.00 	0.00%	02 6247 5227						
	Templestowe Vet	$940.44 	0.10%	9850 5046						
	Test Card 1234567890123456789012345678901234567890	$0.00 	0.00%	9455 2277						
	The Cat Clinic	$0.00 	0.00%	9533 8955						
	The Cat Corner	$778.33 	0.10%	9762 5449						
	The CatDog Deli	"$3,942.68 "	0.60%	9859 1791						
	The Dog House	$0.00 	0.00%	07 4031 7544						
	The Dog Shop	$0.00 	0.00%	9478 6364						
	The Itty Bitty Pet Shop	"$2,999.54 "	0.40%	9585 8455						
	The Meadows Produce & Pet Supplies	$753.37 	0.10%	9761 4506						
	The Pet Shed	"$2,854.66 "	0.40%	9330 3766						
	The Pines Pet Centre	$0.00 	0.00%	9842 4577						
	The Village Vet / Turbo Direct Pty Ltd	"$3,199.40 "	0.50%	9827 7500						
	The Yuppy Puppy Grooming Salon	$114.08 	0.00%	9888 4993						
	Thinking Pet Care	"$8,787.99 "	1.30%	5339 3986						
	Thrift Park Pet Centre	$0.00 	0.00%	9583 2472						
	Top of the Town Pet Supplies	$316.45 	0.00%	9736 1677						
	Totally Tracey	$41.29 	0.00%	0414 497 201						
	Tunstall Pets & Produce	"$1,589.01 "	0.20%	9842 3027						
	Ultimate Dog Care	$0.00 	0.00%	9460 2955						
	Unique Pets & Pales 4 Scales	$0.00 	0.00%	5339 3887						
	Upmarket Pets	"$9,399.94 "	1.40%	9600 9120						
	Valley Pets	$510.21 	0.10%	5174 9947						
	Van De Pol Stockfeeds Australia Pty Ltd	"$28,093.22 "	4.10%	9374 2277						
	VI Pet Supplies	$0.00 	0.00%	9899-7055						
	Victorian Animal Aid Trust -  H/Q	"$3,354.67 "	0.50%	9739 0300						
	Victorian Obedience Dog Club Inc	$0.00 	0.00%	9569 8195						
	W.T. Murphy Bros	"$7,161.73 "	1.00%	9882 2295						
	Wagging Tail	$0.00 	0.00%	9497 1511						
	Wandin Veterinary Clinic	"$1,025.42 "	0.10%	5964 4500						
	Warrandyte Vet Clinic	$0.00 	0.00%	9844 3071						
	Warranwood Vet	$0.00 	0.00%	9879 0900						
	Warringal Veterinary Hospital	$358.38 	0.10%	9459 9590						
	Watsonia Pets & Supplies	"$2,402.86 "	0.30%	9432 4979						
	Watsonia Vet Centre	"$1,313.87 "	0.20%	9432 7207						
	Welcombe Boading Kennels	$0.00 	0.00%	9436 2240						
	West Coast Embroidery	$130.40 	0.00%	5256 3833						
	West Coast Pet Care Centre	$0.00 	0.00%	08 9306 2767						
	West Doncaster Veterinary Clinic	$434.35 	0.10%	9848 4111						
	West Footscray Vet Clinic	$60.30 	0.00%	9687 4542						
	West River Pet Supplies	"$3,753.02 "	0.50%	9741 6147						
	Westernport Pet Supplies	"$4,208.53 "	0.60%	5979 4232						
	Whitford City Pet Shop	$0.00 	0.00%	08 9401 5551						
	Whoopsy's Pty Ltd	"$2,579.09 "	0.40%	9531 6060						
	Wildlife in Secure Enviroment Inc	$222.00 	0.00%	9882 1900						
	Williamstown Veterinary Hospital	$0.00 	0.00%	9397 8002						
	Wonthaggi Feed Barn	$0.00 	0.00%	5672 5600						
	Woodgrove Pet Centre	$0.00 	0.00%	9743 0533						
	Woodside Boarding Cattery	$115.68 	0.00%	08 8389 7499						
	Woori Yallock Pet & Produce	"$2,927.95 "	0.40%	5964 6181						
	Wunder Mutt Pets	$0.00 	0.00%	5427 3603						
	Yarrambat Vet	$0.00 	0.00%	9436 1699						
	Yarraville Veterinary Clinic	"$2,707.89 "	0.40%	9314 8945						
	Yarraville Village Vet	$705.80 	0.10%	9689 8100						
	Your Local Pet Store	$748.77 	0.10%	9532 9392						
	Your Pet Grooming Service	"$2,048.58 "	0.30%	9754 3956						
	Zac's on Sorrento	$0.00 	0.00%	5984 5158						
	Zacs Pet Supplies	"$3,336.30 "	0.50%	9486 8445						
	Zoo Products Brighton	$0.00 	0.00%	9593 1205						
	Zoo Products Head Office	"$4,785.00 "	0.70%	9564 7699a						
	Zoo Products Malvern	$0.00 	0.00%	9509 7943						
										
	Total:	"$668,789.23 "								
										
										
										
										
										
										
										
										
										
										
										
										
